010.000.0103.00,"ÁCIDO ACETILSALICÍLICO DE 300 MG, TABLETA  SOLUBLE  O EFERVESCENTE, ENVASE CON 20 TABLETAS SOLUBLES  O EFERVESCENTES.",20 TABLETAS SOLUBLES  O EFERVESCENTES,PIH:88,acetylsalicylic acid,81
010.000.0101.00,"ÁCIDO ACETILSALICÍLICO DE 500 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,PIH:88,acetylsalicylic acid,81
010.000.1347.00,"ALBENDAZOL  DE 200 MG, TABLETA, ENVASE CON 100 TABLETAS.",100 TABLETAS,PIH:941,albendazole,95
010.000.1344.00,"ALBENDAZOL  DE 200 MG, TABLETA, ENVASE CON 2 TABLETAS.",2 TABLETAS,PIH:941,albendazole,95
010.000.1345.00,"ALBENDAZOL  DE 400 MG / 20 ML, SUSPENSIÓN  ORAL, ENVASE CON 20 ML.",ENVASE CON 20 ML,PIH:941,albendazole,95
010.000.2111.00,"AMLODIPINO,  BESILATO  DE DE 5 MG, TABLETA  O CÁPSULA,  ENVASE  CON 10 TABLETAS O CÁPSULAS.",10 TABLETAS O CÁPSULAS.,CIEL:71138,amlodipine besylate,81
010.000.2230.00,"AMOXICILINA    TRIHIDRATADA  -   ÁCIDO   CLAVULÁNICO  (CLAVULANATO  DE POTASIO) DE 500 MG/125 MG, TABLETA, ENVASE CON 12 TABLETAS.",12 TABLETAS,PIH:450,amoxicillin,82
010.000.2230.01,"AMOXICILINA    TRIHIDRATADA  -   ÁCIDO   CLAVULÁNICO  (CLAVULANATO  DE POTASIO) DE 500 MG/125 MG, TABLETA, ENVASE CON 16 TABLETAS.",16 TABLETAS,PIH:450,amoxicillin,82
010.000.2128.00,"AMOXICILINA    TRIHIDRATADA   DE   500   MG,   CÁPSULA,    ENVASE    CON   12 CÁPSULAS.",12 CÁPSULAS,PIH:265,amoxicillin,82
010.000.2128.01,"AMOXICILINA    TRIHIDRATADA   DE   500   MG,   CÁPSULA,    ENVASE    CON   15 CÁPSULAS.",15 CÁPSULAS,PIH:265,amoxicillin,82
010.000.2130.00,"AMOXICILINA  SÓDICA - ÁCIDO CLAVULÁNICO (CLAVULANATO DE POTASIO) DE 500 MG/100  MG, SOLUCIÓN  INYECTABLE,  ENVASE  CON UN FRASCO  ÁMPULA CON 10 ML DE DILUYENTE.",ENVASE CON UN FRASO ÁMPULA CON 10 ML,PIH:450,amoxicillin,82
010.000.2129.00,"AMOXICILINA  TRIHIDRATADA - ÁCIDO CLAVULÁNICO (CLAVULANATO DE POTASIO)  DE 1.5 G/375 MG / 60 ML, SUSPENSIÓN  ORAL, ENVASE  CON 60 ML, CADA 5 ML CON 125 MG DE AMOXICILINA  Y 31.25 MG ÁCIDO CLAVULÁNICO.",ENVASE CON 60 ML,PIH:450,amoxicillin,82
010.000.2127.00,"AMOXICILINA  TRIHIDRATADA DE 75 G / 75 ML, SUSPENSIÓN  ORAL,  ENVASE CON POLVO PARA 75 ML (500 MG/5 ML).",ENVASE PARA 75 ML,PIH:265,amoxicillin,82
010.000.1930.00,"AMPICILINA  TRIHIDRATADA DE 250 MG / 5 ML, SUSPENSIÓN  ORAL,  ENVASE CON POLVO PARA 60 ML Y DOSIFICADOR.",ENVASE PARA 60 ML,PIH:269,ampicillin,81
