"123912","Ulcer of Cervix","en","N86"
"123912","úlcera de cuello uterino","es","N86"
"141490","Ectropion of Cervix","en","N86"
"141490","ectropión del cuello uterino","es","N86"
"141079","Erosion of Cervix","en","N86"
"141079","erosión del cuello uterino","es","N86"
"158532","primary malignant neoplasm of vagina","en","C52"
"135012","Malignant Neoplasm of Vaginal Vault","en","C52"
"135012","neoplasia maligna de la bóveda vaginal","es","C52"
"146197","Carcinoma of Vagina","en","C52"
"146197","carcinoma de vagina","es","C52"
"135145","Malignant Neoplasm of Gartner's Duct","en","C52"
"135145","neoplasia maligna del conducto de Gartner","es","C52"
"150905","Abdominal Polyradiculopathy","en","G64"
"150905","polirradiculopatía abdominal","es","G64"
"124451","Toxic Encephalitis due to Hydroxyquinoline","en","G92"
"124451","encefalitis tóxica por hidroxiquinolina","es","G92"
"124953","Tetanus Omphalitis","en","A33"
"124953","onfalitis tetánica","es","A33"
"128163","Puerperal Tetanus","en","A34"
"128163","tétanos puerperal","es","A34"
"124958","Tetanic Convulsion","en","A35"
"124958","convulsión por tétanos","es","A35"
"116473","Nutritional Edema with Dyspigmentation of Skin and Hair","en","E40"
"116473","kwashiorkor","es","E40"
"128346","Protein Deficiency Disease","en","E40"
"128346","enfermedad por deficiencia de proteínas","es","E40"
"115721","Clonal Protein Disease","en","E40"
"115721","gammapatía monoclonal (clínica)","es","E40"
"141390","Emaciated","en","E41"
"141390","emaciado","es","E41"
"149129","Alimentary Edema","en","E43"
"149129","edema alimentario","es","E43"
"134725","Malnutrition (Calorie)","en","E46"
"134725","desnutrición (calórica)","es","E46"
"68","MALNUTRITION","en","E46"
"68","trastorno de la nutrición","es","E46"
"115122","MALNUTRITION","en","E46"
"119614","Protein-calorie malnutrition","en","E46"
"119614","deficiencia de macronutrientes","es","E46"
"123815","Undernourished","en","E46"
"123815","desnutrido","es","E46"
"141591","Dystrophy due to Malnutrition","en","E46"
"141591","distrofia por desnutrición","es","E46"
"76532","FLUOREXON DISODIUM","en","E46"
"132645","Nutrition Deficiency due to a Particular Kind of Food","en","E46"
"132645","deficiencia nutricional por falta de una clase específica de alimento","es","E46"
"136781","Insulin Coma","en","E15"
"136781","coma insulínico","es","E15"
"140811","Factitious Hypoglycaemia","en","E15"
"140811","hipoglucemia facticia","es","E15"
"138062","Hypoglycaemic Shock","en","E15"
"138062","shock hipoglucémico","es","E15"
"137956","Iatrogenic Hyperinsulinism","en","E15"
"137956","hiperinsulinismo iatrogénico","es","E15"
"115306","Renal Arteriosclerosis","en","I12"
"127501","Retroileal Appendicitis","en","K37"
"127501","apendicitis retroileal","es","K37"
"130570","Periappendicitis","en","K37"
"130570","periapendicitis","es","K37"
"130650","Pelvic Appendicitis","en","K37"
"130650","apendicitis pélvica","es","K37"
"130503","Perinatal Necrotising Enterocolitis","en","P77"
"130503","enterocolitis necrosante perinatal","es","P77"
"129557","Polyhydramnios with Antenatal Problem","en","O40"
"129557","polihidramnios con problema prenatal","es","O40"
"129558","Polyhydramnios - Delivered","en","O40"
"129558","polihidramnios - nacido","es","O40"
"991","DEHYDRATION","en","E86"
"991","deshidratación","es","E86"
"142630","Dehydration","en","E86"
"142630","deshidratación","es","E86"
"142897","Decreased Plasma Volume","en","E86"
"142897","volumen plasmático disminuido","es","E86"
"142910","Decreased Blood Volume","en","E86"
"142910","volumen sanguíneo disminuido","es","E86"
"122989","Volume Depletion, Renal, due to Output Loss (Renal Deficit)","en","E86"
"122989","depleción de volumen, renal, por pérdida de líquido (déficit renal)","es","E86"
"122990","Volume Depletion, Renal, due to Effector Loss (Hormonal Deficit)","en","E86"
"122990","depleción de volumen, renal, por pérdida del efector (déficit hormonal)","es","E86"
"122991","Volume Depletion, Gastrointestinal Loss","en","E86"
"122991","depleción de volumen, pérdida gastrointestinal","es","E86"
"122992","Volume Depletion, Extrarenal Loss","en","E86"
"122992","depleción de volumen, pérdida extrarrenal","es","E86"
"111124","Dementing Neurological Disease or Syndrome","en","F03"
"111124","demencia asociada con otra enfermedad","es","F03"
"142596","Dementia of Frontal Lobe Type","en","F03"
"142596","demencia de tipo frontal","es","F03"
"113822","Presbyophrenic Psychosis","en","F03"
"113822","psicosis presbiofrénica","es","F03"
"126771","Senile Dementia with Paranoia","en","F03"
"126771","demencia senil con paranoia","es","F03"
"113821","Presenile Dementia","en","F03"
"113821","demencia presenil","es","F03"
"113038","Senile Psychotic Condition","en","F03"
"113038","demencia senil con psicosis","es","F03"
"126757","Senile or Presenile Psychoses NOS","en","F03"
"126757","trastornos psicóticos orgánicos, seniles y preseniles","es","F03"
"126785","Senile and Presenile Organic Psychotic Conditions","en","F03"
"113039","Other Specified Senile Psychotic Conditions","en","F03"
"126772","Senile Dementia with Depression","en","F03"
"126772","demencia senil con depresión","es","F03"
"487","Dementia, senile","en","F03"
"487","Senile dementia","en","F03"
"113823","SENILE PSYCHOSIS","en","F03"
"126773","Senile Dementia with Delusional Features","en","F03"
"126773","demencia senil con delirio","es","F03"
"129194","Presenile Dementia with Depression","en","F03"
"129194","demencia presenil con depresión","es","F03"
"123819","Uncomplicated Senile Dementia","en","F03"
"123819","demencia senil no complicada","es","F03"
"488","SENILE DEMENTIA","en","F03"
"488","demencia senil","es","F03"
"113044","SENILE DEMENTIA","en","F03"
"113044","demencia senil","es","F03"
"129144","Primary Degenerative Dementia of the Alzheimer Type, Presenile Onset, with Delusions","en","F03"
